DATE,YEAR,MONTH,DISTRICT,PRECTOT
1/31/1981,1981,1,Arghakhanchi,67.31
2/28/1981,1981,2,Arghakhanchi,3.37
3/31/1981,1981,3,Arghakhanchi,26.02
4/30/1981,1981,4,Arghakhanchi,46.15
5/31/1981,1981,5,Arghakhanchi,69.45
6/30/1981,1981,6,Arghakhanchi,110.77
7/31/1981,1981,7,Arghakhanchi,620.05
8/31/1981,1981,8,Arghakhanchi,309.99
9/30/1981,1981,9,Arghakhanchi,184.98
10/31/1981,1981,10,Arghakhanchi,11.72
11/30/1981,1981,11,Arghakhanchi,36.66
12/31/1981,1981,12,Arghakhanchi,1.37
1/31/1982,1982,1,Arghakhanchi,57.76
2/28/1982,1982,2,Arghakhanchi,22.8
3/31/1982,1982,3,Arghakhanchi,36.3
4/30/1982,1982,4,Arghakhanchi,32.8
5/31/1982,1982,5,Arghakhanchi,19.03
6/30/1982,1982,6,Arghakhanchi,138.72
7/31/1982,1982,7,Arghakhanchi,343.76
8/31/1982,1982,8,Arghakhanchi,150.33
9/30/1982,1982,9,Arghakhanchi,178.89
10/31/1982,1982,10,Arghakhanchi,2.55
11/30/1982,1982,11,Arghakhanchi,12.51
12/31/1982,1982,12,Arghakhanchi,7.29
1/31/1983,1983,1,Arghakhanchi,4.66
2/28/1983,1983,2,Arghakhanchi,1.89
3/31/1983,1983,3,Arghakhanchi,5.48
4/30/1983,1983,4,Arghakhanchi,18.68
5/31/1983,1983,5,Arghakhanchi,40.74
6/30/1983,1983,6,Arghakhanchi,90.84
7/31/1983,1983,7,Arghakhanchi,160.8
8/31/1983,1983,8,Arghakhanchi,131.82
9/30/1983,1983,9,Arghakhanchi,144.03
10/31/1983,1983,10,Arghakhanchi,120.55
11/30/1983,1983,11,Arghakhanchi,0
12/31/1983,1983,12,Arghakhanchi,12.16
1/31/1984,1984,1,Arghakhanchi,5.24
2/29/1984,1984,2,Arghakhanchi,25.26
3/31/1984,1984,3,Arghakhanchi,2.07
4/30/1984,1984,4,Arghakhanchi,3.09
5/31/1984,1984,5,Arghakhanchi,16.02
6/30/1984,1984,6,Arghakhanchi,172.16
7/31/1984,1984,7,Arghakhanchi,286.21
8/31/1984,1984,8,Arghakhanchi,210.33
9/30/1984,1984,9,Arghakhanchi,249.44
10/31/1984,1984,10,Arghakhanchi,25.6
11/30/1984,1984,11,Arghakhanchi,2
12/31/1984,1984,12,Arghakhanchi,5.17
1/31/1985,1985,1,Arghakhanchi,36.35
2/28/1985,1985,2,Arghakhanchi,0.21
3/31/1985,1985,3,Arghakhanchi,0.03
4/30/1985,1985,4,Arghakhanchi,3.71
5/31/1985,1985,5,Arghakhanchi,29.24
6/30/1985,1985,6,Arghakhanchi,54.03
7/31/1985,1985,7,Arghakhanchi,260.77
8/31/1985,1985,8,Arghakhanchi,161.11
9/30/1985,1985,9,Arghakhanchi,248.93
10/31/1985,1985,10,Arghakhanchi,102.29
11/30/1985,1985,11,Arghakhanchi,0
12/31/1985,1985,12,Arghakhanchi,8.3
1/31/1986,1986,1,Arghakhanchi,1.37
2/28/1986,1986,2,Arghakhanchi,14.91
3/31/1986,1986,3,Arghakhanchi,3.03
4/30/1986,1986,4,Arghakhanchi,7.99
5/31/1986,1986,5,Arghakhanchi,19.8
6/30/1986,1986,6,Arghakhanchi,125.14
7/31/1986,1986,7,Arghakhanchi,287.25
8/31/1986,1986,8,Arghakhanchi,104.18
9/30/1986,1986,9,Arghakhanchi,87.84
10/31/1986,1986,10,Arghakhanchi,24.82
11/30/1986,1986,11,Arghakhanchi,0.39
12/31/1986,1986,12,Arghakhanchi,31.66
1/31/1987,1987,1,Arghakhanchi,17.9
2/28/1987,1987,2,Arghakhanchi,3.44
3/31/1987,1987,3,Arghakhanchi,3.61
4/30/1987,1987,4,Arghakhanchi,2.49
5/31/1987,1987,5,Arghakhanchi,30.93
6/30/1987,1987,6,Arghakhanchi,12.24
7/31/1987,1987,7,Arghakhanchi,291.64
8/31/1987,1987,8,Arghakhanchi,212.63
9/30/1987,1987,9,Arghakhanchi,204.87
10/31/1987,1987,10,Arghakhanchi,109.14
11/30/1987,1987,11,Arghakhanchi,0
12/31/1987,1987,12,Arghakhanchi,7.05
1/31/1988,1988,1,Arghakhanchi,21.03
2/29/1988,1988,2,Arghakhanchi,4.58
3/31/1988,1988,3,Arghakhanchi,24.67
4/30/1988,1988,4,Arghakhanchi,17.13
5/31/1988,1988,5,Arghakhanchi,23.76
6/30/1988,1988,6,Arghakhanchi,87.63
7/31/1988,1988,7,Arghakhanchi,487.28
8/31/1988,1988,8,Arghakhanchi,396.1
9/30/1988,1988,9,Arghakhanchi,84.39
10/31/1988,1988,10,Arghakhanchi,13.66
11/30/1988,1988,11,Arghakhanchi,0
12/31/1988,1988,12,Arghakhanchi,15.76
1/31/1989,1989,1,Arghakhanchi,28.43
2/28/1989,1989,2,Arghakhanchi,11.99
3/31/1989,1989,3,Arghakhanchi,6.43
4/30/1989,1989,4,Arghakhanchi,2.65
5/31/1989,1989,5,Arghakhanchi,28.91
6/30/1989,1989,6,Arghakhanchi,174.79
7/31/1989,1989,7,Arghakhanchi,276.25
8/31/1989,1989,8,Arghakhanchi,205.25
9/30/1989,1989,9,Arghakhanchi,90.51
10/31/1989,1989,10,Arghakhanchi,6.57
11/30/1989,1989,11,Arghakhanchi,1.79
12/31/1989,1989,12,Arghakhanchi,9.78
1/31/1990,1990,1,Arghakhanchi,0.06
2/28/1990,1990,2,Arghakhanchi,36.37
3/31/1990,1990,3,Arghakhanchi,3.76
4/30/1990,1990,4,Arghakhanchi,6.44
5/31/1990,1990,5,Arghakhanchi,25.63
6/30/1990,1990,6,Arghakhanchi,170.18
7/31/1990,1990,7,Arghakhanchi,590.08
8/31/1990,1990,8,Arghakhanchi,165.03
9/30/1990,1990,9,Arghakhanchi,151.89
10/31/1990,1990,10,Arghakhanchi,10.77
11/30/1990,1990,11,Arghakhanchi,0.02
12/31/1990,1990,12,Arghakhanchi,3.01
1/31/1991,1991,1,Arghakhanchi,6.14
2/28/1991,1991,2,Arghakhanchi,0.72
3/31/1991,1991,3,Arghakhanchi,8.65
4/30/1991,1991,4,Arghakhanchi,0.53
5/31/1991,1991,5,Arghakhanchi,25.56
6/30/1991,1991,6,Arghakhanchi,37.08
7/31/1991,1991,7,Arghakhanchi,165.76
8/31/1991,1991,8,Arghakhanchi,214.05
9/30/1991,1991,9,Arghakhanchi,192.08
10/31/1991,1991,10,Arghakhanchi,1.45
11/30/1991,1991,11,Arghakhanchi,2.03
12/31/1991,1991,12,Arghakhanchi,34.19
1/31/1992,1992,1,Arghakhanchi,1.3
2/29/1992,1992,2,Arghakhanchi,2.49
3/31/1992,1992,3,Arghakhanchi,0.69
4/30/1992,1992,4,Arghakhanchi,0.07
5/31/1992,1992,5,Arghakhanchi,18.79
6/30/1992,1992,6,Arghakhanchi,114.2
7/31/1992,1992,7,Arghakhanchi,191.76
8/31/1992,1992,8,Arghakhanchi,210.4
9/30/1992,1992,9,Arghakhanchi,129.01
10/31/1992,1992,10,Arghakhanchi,85.16
11/30/1992,1992,11,Arghakhanchi,2.35
12/31/1992,1992,12,Arghakhanchi,0.13
1/31/1993,1993,1,Arghakhanchi,4.89
2/28/1993,1993,2,Arghakhanchi,3.37
3/31/1993,1993,3,Arghakhanchi,34.58
4/30/1993,1993,4,Arghakhanchi,11.29
5/31/1993,1993,5,Arghakhanchi,24.98
6/30/1993,1993,6,Arghakhanchi,144.28
7/31/1993,1993,7,Arghakhanchi,171.67
8/31/1993,1993,8,Arghakhanchi,139.84
9/30/1993,1993,9,Arghakhanchi,151.66
10/31/1993,1993,10,Arghakhanchi,1.48
11/30/1993,1993,11,Arghakhanchi,0.38
12/31/1993,1993,12,Arghakhanchi,0
1/31/1994,1994,1,Arghakhanchi,22.35
2/28/1994,1994,2,Arghakhanchi,9.05
3/31/1994,1994,3,Arghakhanchi,1.9
4/30/1994,1994,4,Arghakhanchi,3.34
5/31/1994,1994,5,Arghakhanchi,6.15
6/30/1994,1994,6,Arghakhanchi,113.07
7/31/1994,1994,7,Arghakhanchi,240.29
8/31/1994,1994,8,Arghakhanchi,125.37
9/30/1994,1994,9,Arghakhanchi,157.56
