,DATE,YEAR,MONTH,DISTRICT,PRECTOT,spi_1,spi_3
13572,1/31/1981,1981,1,Kathmandu,27.66,0.010776964353449717,
13573,2/28/1981,1981,2,Kathmandu,1.14,-1.1388826336221607,
13574,3/31/1981,1981,3,Kathmandu,27.99,0.016682974218227946,-0.39455150512396636
13575,4/30/1981,1981,4,Kathmandu,59.77,0.4386744035339259,-0.13600145159245827
13576,5/31/1981,1981,5,Kathmandu,128.8,0.9822098929823606,0.4870401921193604
13577,6/30/1981,1981,6,Kathmandu,169.99,1.2180356767199194,0.9283232735608048
13578,7/31/1981,1981,7,Kathmandu,336.35,1.9193752287355528,1.5374627898952784
13579,8/31/1981,1981,8,Kathmandu,218.45,1.4538060381084628,1.6984265511269037
13580,9/30/1981,1981,9,Kathmandu,87.28,0.689020124297987,1.5503931179697967
13581,10/31/1981,1981,10,Kathmandu,2.27,-0.9420985254605755,0.7870190919609287
13582,11/30/1981,1981,11,Kathmandu,21.53,-0.10980801729026518,0.004674146815811946
13583,12/31/1981,1981,12,Kathmandu,2.27,-0.9420985254605755,-0.781768367544929
13584,1/31/1982,1982,1,Kathmandu,78.26,0.6136679343250065,-0.04986052139699674
13585,2/28/1982,1982,2,Kathmandu,9.49,-0.45696068196968,-0.1283251435946155
13586,3/31/1982,1982,3,Kathmandu,19.64,-0.1521410874357612,-0.017239175652808938
13587,4/30/1982,1982,4,Kathmandu,21.0,-0.12138786537728262,-0.46140593540418384
13588,5/31/1982,1982,5,Kathmandu,36.54,0.15457062294589274,-0.2208858040639948
13589,6/30/1982,1982,6,Kathmandu,67.9,0.5195752755471271,0.08534052224886772
13590,7/31/1982,1982,7,Kathmandu,219.97,1.4606595985392599,0.8344140716402081
13591,8/31/1982,1982,8,Kathmandu,180.53,1.2725067944811812,1.1966071842662431
13592,9/30/1982,1982,9,Kathmandu,124.55,0.9552997886110063,1.3197133610154426
13593,10/31/1982,1982,10,Kathmandu,2.8,-0.878114432525748,0.7866665792857724
13594,11/30/1982,1982,11,Kathmandu,6.84,-0.579418422414973,0.13134587842150486
13595,12/31/1982,1982,12,Kathmandu,4.85,-0.6999637505429671,-1.0343663003484656
13596,1/31/1983,1983,1,Kathmandu,0.23,-1.5361956771339713,-1.1123593447302371
13597,2/28/1983,1983,2,Kathmandu,0.13,-1.6625521951058306,-1.4162475000985197
13598,3/31/1983,1983,3,Kathmandu,9.28,-0.4655892535176416,-1.1942164325899696
13599,4/30/1983,1983,4,Kathmandu,8.58,-0.49551968815304664,-0.9446359807247867
13600,5/31/1983,1983,5,Kathmandu,48.49,0.312794143802997,-0.30819493088904976
13601,6/30/1983,1983,6,Kathmandu,96.43,0.7603695643525058,0.22592241366029875
13602,7/31/1983,1983,7,Kathmandu,138.27,1.040208989220852,0.7121554043446771
13603,8/31/1983,1983,8,Kathmandu,86.4,0.6819028475746574,0.8249807448237901
13604,9/30/1983,1983,9,Kathmandu,54.5,0.3821182651231997,0.6996282542779512
13605,10/31/1983,1983,10,Kathmandu,52.44,0.3589836858053585,0.3977766990243893
13606,11/30/1983,1983,11,Kathmandu,0.0,-inf,-0.019948044048426705
13607,12/31/1983,1983,12,Kathmandu,5.41,-0.662475084123282,-0.384463565084173
13608,1/31/1984,1984,1,Kathmandu,4.19,-0.7490256769001236,-1.1957906295734402
13609,2/29/1984,1984,2,Kathmandu,15.04,-0.2698808606810064,-0.8073272577306474
13610,3/31/1984,1984,3,Kathmandu,5.06,-0.6855086527699633,-0.8137618075522153
